actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
188.84799194335938,0.0
205.9004364013672,0.0
219.5424041748047,0.0
236.59483337402344,0.0
250.2367401123047,0.0
263.87872314453125,0.0
277.5206298828125,0.0
291.16259765625,0.0
301.39404296875,0.0
304.80450439453125,0.0
304.80450439453125,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.0
297.9835205078125,0.0
297.9835205078125,0.0
294.57305908203125,3.7892584800720215
287.7520751953125,7.420292377471924
284.34161376953125,10.866908073425293
274.11016845703125,14.046673774719238
263.87872314453125,16.969850540161133
0.0,19.64630889892578
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
193.2340545654297,0.0
237.5703582763672,0.0
268.26470947265625,0.0
295.54864501953125,0.0
322.83245849609375,0.0
370.5793151855469,0.0
394.4527282714844,0.0
404.6841735839844,0.0
418.3261413574219,4.771998882293701
435.3785095214844,10.302846908569336
438.7890319824219,15.665733337402344
442.1995544433594,20.82235336303711
452.4309997558594,25.825407028198242
459.2519226074219,30.85984992980957
469.4833679199219,35.8349494934082
472.8938903808594,40.66345977783203
